1;583
1;871
1;312
1;855
2;67
2;205
2;321
2;408
2;223
2;195
2;1000
2;82
2;545
2;567
2;762
2;549
2;5
2;575
2;949
2;50
2;225
3;402
3;2
3;376
3;140
3;147
3;447
4;804
4;578
4;882
4;661
4;582
4;67
4;410
4;272
4;809
4;255
4;491
4;679
5;210
5;992
5;836
5;331
5;291
5;617
5;986
5;249
5;186
5;914
5;165
6;352
6;473
6;550
6;377
6;997
6;301
6;813
6;985
7;817
7;986
7;467
7;143
8;165
8;311
8;223
8;488
8;998
8;83
8;313
8;187
8;639
8;313
8;934
8;120
8;297
8;285
8;635
8;312
8;417
9;723
9;862
9;442
9;875
9;387
9;328
9;62
9;683
9;972
9;16
9;196
9;36
9;347
9;179
9;901
9;239
9;630
9;602
10;856
10;724
10;98
10;267
10;903
10;296
10;315
10;289
10;705
10;856
10;721
10;477
10;660
10;47
10;722
10;148
11;6
11;438
11;396
11;154
11;693
11;732
11;183
11;64
11;521
11;706
11;539
11;244
11;315
11;72
11;359
11;470
11;64
11;552
11;844
12;172
12;967
13;969
13;406
13;806
13;660
13;21
13;608
13;119
13;288
13;216
13;924
13;230
13;921
13;818
13;346
13;609
13;830
13;50
13;482
13;299
13;408
14;933
14;453
14;705
14;821
14;729
14;813
14;256
14;408
14;717
14;275
14;940
14;599
14;766
14;81
14;790
14;253
14;514
14;170
14;321
14;228
15;422
15;549
15;731
15;95
15;311
15;322
15;64
15;728
15;493
15;358
16;405
16;607
16;258
16;996
16;150
16;637
16;778
16;107
16;869
16;863
16;352
16;530
16;391
16;912
16;129
16;993
17;85
17;432
17;675
17;88
17;99
17;208
17;754
17;539
17;980
17;559
17;263
17;921
17;583
18;865
18;649
18;570
18;575
18;773
18;400
18;987
18;359
18;317
18;433
18;604
19;766
19;943
19;7
19;223
19;690
19;642
19;319
19;265
19;567
19;942
19;214
20;431
20;61
20;800
20;483
20;786
20;20
20;590
20;375
20;926
20;283
20;623
20;684
21;350
21;742
21;492
21;763
21;786
21;611
21;971
21;630
21;16
21;551
21;428
21;13
21;269
21;47
21;237
21;986
21;231
21;278
22;500
22;885
22;84
22;136
23;158
23;571
23;918
23;973
23;129
23;520
23;439
23;63
23;404
23;431
24;31
24;417
24;156
24;147
24;806
24;600
24;789
24;415
24;531
24;17
24;48
24;897
24;350
24;715
25;318
25;681
26;562
26;837
